AI_TASK,MODEL,VERSION,INPUT_TILE,PLATFORM,ENGINE,PROCESSOR,PRECISION,QUALITY_METRIC,QUALITY_VALUE,GFLOP,#PARAMS,STORAGE,PREPROCESSING_TIME,INFERENCE_TIME,POSTPROCESSING_TIME,LATENCY,THROUGHPUT,DMIPS,CPU_MEM,CPU_MEM_PEAK,GPU_MEM,GPU_MEM_PEAK,MEMORY_BANDWIDTH,MEMORY_BANDWIDTH_PEAK,CPU_LOAD,GPU_LOAD,NPU_LOAD,CPU_TEMP,GPU_TEMP,POWER_CONSUMPTION,ENERGY_EFFICIENCY,NOTES,UPDATED BY,LAST UPDATE
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,192x144,jetson-nano2,lne,GPU/CPU,F32,/,/,0.5,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,192x144,jetson-nano2,tensorrt,GPU,F16,/,/,0.5,4.7,9.5,9.0,47.7,7.6,64.3,15.5,105762.6,45.2,2.0,43.6,1.8,4.0,5.0,61.8,15.0,0.0,38.6,27.5,4.0,1.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,192x144,jetson-nano2,tensorrt,GPU,F32,/,/,0.5,4.7,19.0,9.3,42.4,7.7,59.4,16.8,114560.9,45.8,2.1,44.1,1.8,4.6,5.0,62.0,17.5,0.0,38.1,27.0,4.0,1.1,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,192x144,jetson-nano2,onnxruntime,CPU,F32,/,/,0.5,4.7,19.0,9.1,209.9,25.4,244.4,4.1,27836.6,15.6,0.9,15.6,0.6,2.2,3.0,62.1,0.0,0.0,36.2,25.5,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,256x192,jetson-nano2,lne,CPU,F32,/,/,0.9,4.7,19.0,12.4,138.0,19.3,169.7,5.9,40086.6,18.1,1.0,18.0,0.7,4.8,5.0,61.1,0.0,0.0,36.0,25.2,3.6,0.7,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,256x192,jetson-nano2,onnxruntime,CPU,F32,/,/,0.9,4.7,19.0,11.9,305.4,33.6,350.9,2.8,19384.9,16.7,0.9,16.6,0.7,3.0,3.0,62.5,0.0,0.0,36.6,25.6,3.6,0.3,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,256x192,jetson-nano2,lne,GPU/CPU,F32,/,/,0.9,4.7,19.0,/,/,/,/,/,/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,256x192,jetson-nano2,tensorrt,GPU,F16,/,/,0.9,4.7,9.5,11.6,45.1,12.0,68.7,14.6,99068.0,46.2,2.1,44.6,1.8,5.5,6.0,61.8,19.1,0.0,38.8,27.8,4.1,1.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,256x192,jetson-nano2,tensorrt,GPU,F32,/,/,0.9,4.7,19.0,11.7,44.0,12.1,67.8,14.7,100273.7,45.9,2.0,44.4,1.8,6.0,7.0,61.1,31.6,0.0,38.4,27.0,4.2,1.5,,,
bodypose-estimation,body-pose-openpifpaf,regnety400mf-hands,256x192,jetson-nano2,onnxruntime,CPU,F32,/,/,0.9,4.7,19.0,12.5,306.4,34.3,353.2,2.8,19259.7,15.9,0.9,15.9,0.6,3.0,3.0,62.6,0.0,0.0,36.4,25.6,3.6,0.3,,,
