var_0,var_1,var_2,time,memory
42,39,28,28.98482322692871,11.342052
6,31,23,29.24120140075684,11.341706
51,34,11,29.260053634643555,8.999498
48,36,13,28.673430919647217,9.577008
21,24,35,29.09694027900696,11.341902
39,9,5,28.818917751312256,7.461704
39,47,46,29.54100131988525,11.342126
42,50,10,29.168753147125244,8.712107
37,17,51,29.20883584022522,11.342565
14,18,32,29.181764841079712,11.343479
14,5,37,29.435925722122192,11.341995
46,6,51,30.175466060638428,11.345443
44,4,25,29.8323392868042,11.344491
51,12,30,30.265881538391117,11.343635
32,22,14,30.04287600517273,9.870333
23,6,4,30.04343843460083,7.381029
49,19,18,30.14932227134705,10.99466
50,32,13,30.09724283218384,9.579512
26,32,16,30.470412254333496,10.446581
23,50,9,29.617544412612915,8.431834
52,32,18,30.03465962409973,10.993615
42,47,23,29.768386363983154,11.343075
36,41,4,30.053086519241333,7.378955
23,9,36,29.97535824775696,11.344241
19,51,27,30.062705755233765,11.343339
4,46,23,30.065680027008057,11.343074
26,28,36,30.26929759979248,11.344058
45,5,24,30.05206847190857,11.342626
44,35,39,29.875901222229004,11.343626
51,31,35,29.59302759170532,11.345497
10,43,7,29.85743451118469,7.89012
28,42,19,28.20949077606201,11.18434
21,44,8,27.92544174194336,8.146196
10,23,42,28.47583055496216,11.338167
7,49,5,27.85230708122253,7.457606
43,49,32,28.488098859786987,11.335053
39,51,16,28.57056164741516,10.441207
36,34,27,28.19803285598755,11.337963
13,30,10,28.640069723129272,8.708089
48,14,40,28.727553367614743,11.338091
16,22,34,28.373058795928955,11.335367
28,28,21,28.362305879592896,11.325564
30,29,16,28.544463396072388,10.438124
6,16,4,27.84566903114319,7.370954
47,49,29,28.70568585395813,11.337938
29,25,33,28.67926836013794,11.335834
24,31,18,28.102191925048828,10.988229
8,20,38,29.162177085876465,11.335052
37,52,48,28.51679730415344,11.335056
11,47,21,28.41989207267761,11.328666
43,45,50,28.50515580177307,11.337148
34,48,45,28.79360246658325,11.340055
14,39,33,29.15857315063477,11.340937
46,30,11,28.66185212135315,8.993777
51,17,24,29.449536085128784,11.339067
38,48,19,28.83989667892456,11.18319
9,16,13,28.9310519695282,9.575409
48,51,9,29.142518758773804,8.427274
