var_0,var_1,var_2,var_3,time,memory
41,38,32,21,762.8596737,47.46154
28,20,4,40,724.7439182,21.800473
42,42,7,29,690.5123103,30.918894
49,39,9,45,685.1032748,35.230816
29,49,34,12,695.0380046,47.222991
49,52,51,20,707.6228387,47.460011
50,40,41,36,677.1692808,47.460886
37,41,40,50,688.0636888,47.460627
48,17,13,8,692.0960588,42.134749
38,7,22,46,683.394783,47.460895
25,25,23,9,690.4865811,44.075784
15,9,6,14,691.7077425,28.695495
28,15,12,52,689.5625803,41.101477
50,6,14,39,701.162904,44.922
45,17,36,43,689.2447145,47.460601
44,27,31,42,686.0587721,47.460789
28,48,50,51,700.3502855,47.460203
48,45,24,33,701.5573411,47.459546
47,42,15,36,718.6819344,46.296613
38,6,15,5,695.921818,36.340348
20,50,49,13,701.1496432,47.433546
25,30,25,42,694.1028836,47.460962
12,5,6,30,666.4905181,28.6413
6,27,24,6,664.4055936,28.599385
47,12,41,32,679.4587085,47.443847
12,16,44,24,676.7358761,41.089569
41,33,17,7,677.8946528,40.236006
17,30,5,7,684.4936237,26.807705
33,46,47,11,679.9912779,46.762646
42,16,31,13,686.0798943,47.421151
28,50,43,46,687.3524084,47.447532
45,45,6,10,676.834245,28.708407
13,23,37,52,680.800869,43.005395
33,46,39,16,689.4816213,47.431099
44,42,29,32,695.1433849,47.452067
41,19,17,12,677.2869811,47.211387
